                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.8144573300680158E-037      5.0271465915946114E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                              20          6.0810158891322175E+006                                1          2.9378275282857662E+000          8.6326251872731667E+000          1.5587659982675778E-001          1.0316023894781519E+000          4.1164765279606230E-001          6.7850752967236856E+000         -6.2133489947534848E-001         -8.4796006759478670E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4858116299883798E+002          1.4229496917910261E-001          8.9517801229431448E+000          4.9230607641245307E+001          3.2705729002497172E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2705729002497172E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              21          6.4681590702791801E+006                                1          2.9350290743615148E+000          8.6271422602816195E+000          1.5391628507215951E-001          1.0067195639226962E+000          4.1138619883767086E-001          6.7807658228756926E+000         -6.2585938588354684E-001         -8.5153305832706794E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4862837041976618E+002          1.4234017934148405E-001          8.9274538098581129E+000          4.9230469678493229E+001          3.2645533049254411E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2645533049254411E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              22          6.9274459002219215E+006                                1          2.9320813727900412E+000          8.6213650320207140E+000          1.5193494756850612E-001          9.8131046440124448E-001          4.1111071109186031E-001          6.7762250339608201E+000         -6.3042814631371358E-001         -8.5518331231870970E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4867816045989591E+002          1.4238786285723187E-001          8.9025509867921730E+000          4.9230324215560948E+001          3.2594169447636432E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2594169447636432E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              23          7.4465451666429406E+006                                1          2.9291397002618171E+000          8.6155976897505706E+000          1.5003515603514864E-001          9.5655661483805654E-001          4.1083569476057369E-001          6.7716920152421824E+000         -6.3480496473757986E-001         -8.5874186057414092E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4872791524290173E+002          1.4243551260751944E-001          8.8809931246536973E+000          4.9230178904286738E+001          3.2540404610675978E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2540404610675978E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              24          7.9378104345155852E+006                                1          2.9266812689224677E+000          8.6107762924587288E+000          1.4848311434541700E-001          9.3605042942828276E-001          4.1060578591647023E-001          6.7679024908563914E+000         -6.3838036521087171E-001         -8.6169268385693931E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4876954772725003E+002          1.4247538369856236E-001          8.8642938337371788E+000          4.9230057351933603E+001          3.2486669592251346E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2486669592251346E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              25          8.5266437794863414E+006                                1          2.9240298208653579E+000          8.6055748435173864E+000          1.4691399242781267E-001          9.1465002237644910E-001          4.1035775426892479E-001          6.7638142532747212E+000         -6.4198558233766501E-001         -8.6477304252794673E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4881450116306107E+002          1.4251843523776236E-001          8.8489678981152498E+000          4.9229926141747193E+001          3.2441071058173819E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2441071058173819E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              26          9.1897723222959936E+006                                1          2.9213618681575131E+000          8.6003394296176872E+000          1.4542687905836216E-001          8.9364393644063500E-001          4.1010810299871736E-001          6.7596993198971731E+000         -6.4539379252690121E-001         -8.6779827117306907E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4885978931599760E+002          1.4256180733282622E-001          8.8374899219956653E+000          4.9229793994660952E+001          3.2392424092855009E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2392424092855009E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              27          9.7933179793184754E+006                                1          2.9191932431457928E+000          8.5960826890214008E+000          1.4425867384691085E-001          8.7674694549425514E-001          4.0990511986936684E-001          6.7563536046787025E+000         -6.4806813368692540E-001         -8.7023370936549016E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4889664209560684E+002          1.4259710093958514E-001          8.8299868244854949E+000          4.9229686490961818E+001          3.2343557675861113E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2343557675861113E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              28          1.0377607624360571E+007                                1          2.9172801377298594E+000          8.5923266263603928E+000          1.4327136004752344E-001          8.6197885604813673E-001          4.0972601162076155E-001          6.7534014125678112E+000         -6.5032398240770217E-001         -8.7236374629767621E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4892918299144898E+002          1.4262826509039309E-001          8.8268245105405772E+000          4.9229591587629962E+001          3.2303396463157370E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2303396463157370E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              29          1.0957853254930543E+007                                1          2.9155311310611083E+000          8.5888920256604084E+000          1.4240915491753123E-001          8.4873851190175365E-001          4.0956223232005412E-001          6.7507018832985528E+000         -6.5228933803094191E-001         -8.7427403452646024E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4895895756236294E+002          1.4265677995435705E-001          8.8246378421382694E+000          4.9229504770263766E+001          3.2267647060108764E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2267647060108764E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
